x,y,y (p = 1),error (p = 1),y (p = 2),error (p = 2),y (p = 3),error (p = 3),y (p = 4),error (p = 4)
1.8000000000,5.4103451433,36.6134283790,31.2030832356,5.2408454117,-0.1694997316,5.3084659613,-0.1018791820,5.4098230050,-0.0005221383
1.8500000000,4.3751346174,39.1515159969,34.7763813795,3.7746748329,-0.6004597844,4.2744715372,-0.1006630801,4.3770645685,0.0019299511
1.9000000000,2.8456627016,37.4650433525,34.6193806509,1.8535144315,-0.9921482701,2.7585144513,-0.0871482503,2.8499650912,0.0043023896
1.9500000000,0.9673869187,31.1718717455,30.2044848268,-0.3260554344,-1.2934423530,0.9051368359,-0.0622500828,0.9736831252,0.0062962065
2.0000000000,-1.0723085045,20.3933680509,21.4656765554,-2.5339184759,-1.4616099714,-1.1006615419,-0.0283530374,-1.0646637173,0.0076447872
2.0500000000,-3.0644845604,5.8032790274,8.8677635878,-4.5326754402,-1.4681908798,-3.0535640896,0.0109204708,-3.0563354111,0.0081491493
2.1000000000,-4.8016627682,-11.3844545094,-6.5827917412,-6.1049667718,-1.3033040036,-4.7505542713,0.0511084969,-4.7939567373,0.0077060309
2.1500000000,-6.1008302153,-29.4947643611,-23.3939341457,-7.0785869865,-0.9777567712,-6.0133996823,0.0874305330,-6.0945053077,0.0063249076
2.2000000000,-6.8237837665,-46.5357536180,-39.7119698514,-7.3463812681,-0.5225975016,-6.7084148365,0.1153689300,-6.8196524079,0.0041313587
2.2500000000,-6.8924779870,-60.3984427463,-53.5059647592,-6.8785512830,0.0139267040,-6.7612390951,0.1312388919,-6.8911221109,0.0013558761
2.3000000000,-6.2976293382,-69.0942940888,-62.7966647505,-5.7259216935,0.5717076447,-6.1649549881,0.1326743501,-6.2993202846,-0.0016909464
2.3500000000,-5.0996188283,-71.0062043527,-65.9065855244,-4.0138160946,1.0858027338,-4.9806532731,0.1189655552,-5.1042729647,-0.0046541363
2.4000000000,-3.4216318133,-65.1242091830,-61.7025773697,-1.9273251149,1.4943066983,-3.3304305884,0.0912012249,-3.4288086030,-0.0071767898
2.4500000000,-1.4358704420,-51.2356877093,-49.7998172673,0.3102194695,1.7460899115,-1.3836788551,0.0521915870,-1.4448145222,-0.0089440802
2.5000000000,0.6555343839,-30.0419065301,-30.6974409139,2.4629485622,1.8074141783,0.6617101692,0.0061757854,0.6458110609,-0.0097233230
2.5500000000,2.6426909016,-3.1784511546,-5.8211420562,4.3092449231,1.6665540215,2.6010353909,-0.0416555107,2.6332959607,-0.0093949409
2.6000000000,4.3306452859,26.8738217428,22.5431764569,5.6664299420,1.3357846561,4.2448779370,-0.0857673488,4.3226750893,-0.0079701966
2.6500000000,5.5600352134,56.9889397631,51.4289045497,6.4104545299,0.8504193166,5.4390902630,-0.1209449503,5.5544420858,-0.0055931275
2.7000000000,6.2233955327,83.6954448970,77.4720493643,6.4883441998,0.2649486671,6.0804616668,-0.1429338659,6.2208694798,-0.0025260529
2.7500000000,6.2753514849,103.5505231089,97.2751716239,5.9220582119,-0.3532932730,6.1263759138,-0.1489755712,6.2762314059,0.0008799209
2.8000000000,5.7356706662,113.5518504658,107.8161797997,4.8034835912,-0.9321870749,5.5975009954,-0.1381696708,5.7398967122,0.0042260461
2.8500000000,4.6849887720,111.5417093596,106.8567205876,3.2813642335,-1.4036245385,4.5733745307,-0.1116142413,4.6921026130,0.0071138410
2.9000000000,3.2538749510,96.5538161621,93.2999412111,1.5419297566,-1.7119451944,3.1815722363,-0.0723027146,3.2630688698,0.0091939188
2.9500000000,1.6066597743,69.0547507138,67.4480909395,-0.2142794446,-1.8209392189,1.5818739669,-0.0247858074,1.6168694325,0.0102096583
3.0000000000,-0.0779755594,31.0393331959,31.1173087553,-1.7964826452,-1.7185070858,-0.0526121377,0.0253634217,-0.0679453877,0.0100301717
3.0500000000,-1.6273211506,-14.0474828295,-12.4201616789,-3.0456710399,-1.4183498893,-1.5551031460,0.0722180046,-1.6186528919,0.0086682587
3.1000000000,-2.8934960477,-61.5716093985,-58.6781133508,-3.8519293202,-0.9584332725,-2.7832781896,0.1102178581,-2.8872152051,0.0062808427
3.1500000000,-3.7687002116,-106.1419626156,-102.3732624041,-4.1650763964,-0.3963761849,-3.6338462322,0.1348539794,-3.7655486726,0.0031515390
3.2000000000,-4.1952020392,-142.1799201743,-137.9847181352,-3.9975133194,0.1976887197,-4.0519717152,0.1432303239,-4.1955448011,-0.0003427620
3.2500000000,-4.1690716360,-164.5718923371,-160.4028207011,-3.4191670625,0.7499045735,-4.0346399192,0.1344317169,-4.1728490122,-0.0037773761
3.3000000000,-3.7374416225,-169.3347714596,-165.5973298371,-2.5454143386,1.1920272838,-3.6277921760,0.1096494464,-3.7441734974,-0.0067318750
3.3500000000,-2.9898569385,-154.2147904501,-151.2249335116,-1.5197348794,1.4701220591,-2.9178110324,0.0720459061,-2.9986992328,-0.0088422943
3.4000000000,-2.0449689255,-119.1397606753,-117.0947917499,-0.4934714277,1.5514974978,-2.0185967860,0.0263721395,-2.0548159016,-0.0098469761
3.4500000000,-1.0343549030,-66.4538040902,-65.4194491872,0.3946117692,1.4289666722,-1.0559715627,-0.0216166597,-1.0439751174,-0.0096202143
3.5000000000,-0.0855421874,-0.8825003866,-0.7969581992,1.0363142438,1.1218564313,-0.1514188671,-0.0658766796,-0.0937315081,-0.0081893207
3.5500000000,0.6936466945,70.7963908638,70.1027441693,1.3672440618,0.6735973672,0.5928130232,-0.1008336713,0.6879139531,-0.0057327414
3.6000000000,1.2275325943,140.3681975602,139.1406649660,1.3736983107,0.1461657165,1.1054436823,-0.1220889119,1.2249733939,-0.0025592003
3.6500000000,1.4803565396,199.0382466438,197.5578901042,1.0924152288,-0.3879413109,1.3533730739,-0.1269834657,1.4812863132,0.0009297736
3.7000000000,1.4585670737,238.4516338213,236.9930667475,0.6033800956,-0.8551869782,1.3436190994,-0.1149479743,1.4628565303,0.0042894565
3.7500000000,1.2074981180,251.7684736786,250.5609755606,0.0167774441,-1.1907206739,1.1199068045,-0.0875913136,1.2145857293,0.0070876113
3.8000000000,0.8030261318,234.6686614066,233.8656352748,-0.5440598392,-1.3470859710,0.7545123513,-0.0485137805,0.8119854552,0.0089593234
3.8500000000,0.3394178169,186.1549759717,185.8155581549,-0.9613444899,-1.3007623067,0.3365527827,-0.0028650342,0.3490718996,0.0096540827
3.9000000000,-0.0849598772,109.0336686842,109.1186285614,-1.1406145015,-1.0556546243,-0.0416593629,0.0433005143,-0.0758907997,0.0090690775
3.9500000000,-0.3821519094,9.9779718407,10.3601237501,-1.0251788549,-0.6430269455,-0.2983600101,0.0837918993,-0.3748875979,0.0072643115
4.0000000000,-0.4874342909,-100.8792169067,-100.3917826158,-0.6052628957,-0.1178286048,-0.3743565433,0.1130777476,-0.4829769152,0.0044573757
4.0500000000,-0.3687665654,-210.8252575402,-210.4564909748,0.0794048786,0.4481714440,-0.2417566900,0.1270098754,-0.3677683363,0.0009982292
4.1000000000,-0.0316539901,-305.8641149827,-305.8324609926,0.9439521282,0.9756061182,0.0917275741,0.1233815641,-0.0343271310,-0.0026731409
4.1500000000,0.4812037785,-372.3154233823,-372.7966271607,1.8691352419,1.3879314635,0.5834510273,0.1022472488,0.4751226597,-0.0060811188
4.2000000000,1.0954259136,-398.5525917120,-399.6480176256,2.7171412309,1.6217153173,1.1613852639,0.0659593503,1.0866516443,-0.0087742693
4.2500000000,1.7149094941,-376.6808465383,-378.3957560324,3.3503626981,1.6354532040,1.7338224483,0.0189129542,1.7045263665,-0.0103831275
4.3000000000,2.2349468483,-303.9412013176,-306.1761481659,3.6506825695,1.4157357212,2.2019725295,-0.0329743189,2.2242781670,-0.0106686813
4.3500000000,2.5568057348,-183.6360911595,-186.1928968943,3.5367157886,0.9799100538,2.4738195656,-0.0829861692,2.5472504248,-0.0095553100
4.4000000000,2.6018827596,-25.4083888505,-28.0102716101,2.9766950555,0.3748122959,2.4774352177,-0.1244475419,2.5947389673,-0.0071437923
4.4500000000,2.3235834167,155.2337504172,152.9101670005,1.9952267221,-0.3283566945,2.1720064332,-0.1515769834,2.3198809975,-0.0037024191
4.5000000000,1.7153564128,338.1729594278,336.4576030150,0.6729129055,-1.0424435073,1.5551118722,-0.1602445406,1.7157194664,0.0003630535
4.5500000000,0.8137812628,500.6531718798,499.8393906169,-0.8612607817,-1.6750420445,0.6652428899,-0.1485383729,0.8183384867,0.0045572239
4.6000000000,-0.3037818096,619.8025381459,620.1063199555,-2.4439501660,-2.1401683564,-0.4208473533,-0.1170655437,-0.2954268249,0.0083549847
4.6500000000,-1.5267969817,675.4602649736,676.9870619553,-3.8962439258,-2.3694469441,-1.5957413506,-0.0689443689,-1.5155306439,0.0112663378
4.7000000000,-2.7235757311,652.9932416098,655.7168173410,-5.0449531256,-2.3213773944,-2.7330591229,-0.0094833917,-2.7106776119,0.0128981192
4.7500000000,-3.7563250534,545.7538525243,549.5101775777,-5.7437896418,-1.9874645884,-3.7019059611,0.0544190923,-3.7433201222,0.0130049312
4.8000000000,-4.4974404713,356.8348725428,361.3323130141,-5.8918082621,-1.3943677908,-4.3823546469,0.1150858244,-4.4859176726,0.0115227987
4.8500000000,-4.8450899085,99.8246495399,104.6697394484,-5.4467989706,-0.6017090621,-4.6801045083,0.1649854002,-4.8365088057,0.0085811028
4.9000000000,-4.7361970849,-201.6450609730,-196.9088638881,-4.4319171399,0.3042799449,-4.5385378809,0.1976592040,-4.7317061221,0.0044909628
4.9500000000,-4.1552243944,-515.6414451108,-511.4862207164,-2.9346556345,1.2205687599,-3.9466878654,0.2085365290,-4.1555132813,-0.0002888869
5.0000000000,-3.1376403969,-804.8968436089,-801.7592032120,-1.0981930197,2.0394473773,-2.9421044438,0.1955359531,-3.1428452923,-0.0052048953
5.0500000000,-1.7675779508,-1030.7745458877,-1029.0069679369,0.8939190720,2.6614970228,-1.6082021981,0.1593757527,-1.7772519397,-0.0096739889
5.1000000000,-0.1698713253,-1157.8615015328,-1157.6916302075,2.8379537036,3.0078250289,-0.0663206621,0.1035506632,-0.1830248910,-0.0131535657
5.1500000000,1.5026771154,-1158.6957787492,-1160.1984558646,4.5327195409,3.0300424255,1.5366496123,0.0339724969,1.4874694017,-0.0152077137
5.2000000000,3.0853867147,-1018.0639002813,-1021.1492869960,5.8021061273,2.7167194126,3.0436998408,-0.0416868739,3.0698251793,-0.0155615354
5.2500000000,4.4193331687,-736.2915179231,-740.7108510919,6.5148044664,2.0954712977,4.3044582742,-0.1148748946,4.4051963610,-0.0141368077
5.3000000000,5.3685310949,-331.0085947032,-336.3771257981,6.5988865831,1.2303554883,5.1913742807,-0.1771568142,5.3574666836,-0.0110644113
5.3500000000,5.8347160323,163.0018643421,157.1671483098,6.0495501346,0.2148341023,5.6135016812,-0.2212143511,5.8280442952,-0.0066717371
5.4000000000,5.7680529790,696.0721811263,690.3041281472,4.9291585806,-0.8388943984,5.5263287013,-0.2417242777,5.7666066702,-0.0014463088
5.4500000000,5.1725678799,1207.9996225901,1202.8270547102,3.3596318370,-1.8129360429,4.9365579167,-0.2360099631,5.1765881156,0.0040202358
5.5000000000,4.1057053767,1634.1824780440,1630.0767726673,1.5081530274,-2.5975523492,3.9013200227,-0.2043853539,4.1148066114,0.0091012347
5.5500000000,2.6720886023,1912.9956077493,1910.3235191470,-0.4320572414,-3.1041458437,2.5219412788,-0.1501473235,2.6852975491,0.0132089468
5.6000000000,1.0122156771,1993.6446704907,1992.6324548136,-2.2635816125,-3.2757972896,0.9330012548,-0.0792144223,1.0280801527,0.0158644755
5.6500000000,-0.7126040388,1843.5933530771,1844.3059571158,-3.8066649358,-3.0940608970,-0.7120567447,0.0005472941,-0.6958488254,0.0167552134
5.7000000000,-2.3373584655,1454.6074907256,1456.9448491911,-4.9185331020,-2.5811746364,-2.2571257841,0.0802326815,-2.3215856663,0.0157727993
5.7500000000,-3.7105606334,846.5208307978,850.2313914312,-5.5079611173,-1.7974004839,-3.5596278369,0.1509327965,-3.6975337393,0.0130268941
5.8000000000,-4.7096849005,68.0044723537,72.7141572542,-5.5434902591,-0.8338053586,-4.5049110435,0.2047738570,-4.7008519194,0.0088329811
5.8500000000,-5.2531351096,-806.0928475257,-800.8397124161,-5.0544889730,0.1986461366,-5.0172994162,0.2358356934,-5.2494595774,0.0036755322
5.9000000000,-5.3074922052,-1680.8961814250,-1675.5886892197,-4.1251310902,1.1823611150,-5.0666526162,0.2408395890,-5.3093413306,-0.0018491253
5.9500000000,-4.8893499471,-2450.7903890887,-2445.9010391415,-2.8822185616,2.0071313855,-4.6698270614,0.2195228858,-4.8964533796,-0.0071034324
6.0000000000,-4.0616778479,-3011.0603060936,-3006.9986282456,-1.4784994055,2.5831784424,-3.8870225222,0.1746553258,-4.0731620849,-0.0114842369
6.0500000000,-2.9252753817,-3270.7290707747,-3267.8037953930,-0.0736376703,2.8516377114,-2.8135801200,0.1116952617,-2.9397697194,-0.0144943377
6.1000000000,-1.6064277553,-3165.1621527938,-3163.5557250385,1.1847780956,2.7912058509,-1.5683003947,0.0381273606,-1.6222290469,-0.0158012916
6.1500000000,-0.2422784784,-2666.8722333501,-2666.6299548717,2.1778718723,2.4201503507,-0.2797165341,-0.0374380558,-0.2575548435,-0.0152763652
6.2000000000,1.0343472065,-1793.0041707873,-1794.0385179938,2.8278033423,1.7934561358,0.9280521514,-0.1062950551,1.0213382980,-0.0130089085
6.2500000000,2.1089232378,-608.2142975726,-610.3232208105,3.1044110173,0.9954877795,1.9482463024,-0.1606769354,2.0996288298,-0.0092944080
6.3000000000,2.8964573935,777.9230583192,775.0266009257,3.0255602533,0.1291028598,2.7017865730,-0.1946708205,2.8918597190,-0.0045976745
6.3500000000,3.3488007282,2219.2772441629,2215.9284434347,2.6513929265,-0.6974078017,3.1438989730,-0.2049017551,3.3493050754,0.0005043473
6.4000000000,3.4573537396,3546.9145918586,3543.4572381190,2.0734445993,-1.3839091403,3.2664494484,-0.1909042912,3.4627469103,0.0053931707
6.4500000000,3.2510587126,4587.1655312290,4583.9144725163,1.4002246501,-1.8508340625,3.0959208963,-0.1551378163,3.2605428567,0.0094841441
6.5000000000,2.7901322967,5182.2796104907,5179.4894781940,0.7412674504,-2.0488648463,2.6874868108,-0.1026454859,2.8024297005,0.0122974038
6.5500000000,2.1564863224,5211.4329702149,5209.2764838924,0.1918091921,-1.9646771303,2.1160860841,-0.0404002384,2.1700020542,0.0135157317
6.6000000000,1.4421502098,4609.5596733735,4608.1175231637,-0.1798891870,-1.6220393968,1.4657305663,0.0235803565,1.4551724536,0.0130222438
6.6500000000,0.7372038099,3381.4617245973,3380.7245207873,-0.3409460042,-1.0781498141,0.8184442456,0.0812404357,0.7481171173,0.0109133074
6.7000000000,0.1187352767,1608.9456691718,1608.8269338952,-0.2969613729,-0.4156966495,0.2442239657,0.1254886890,0.1262204026,0.0074851259
6.7500000000,-0.3578418398,-550.6648025774,-550.3069607375,-0.0895137833,0.2683280565,-0.2067681564,0.1510736835,-0.3546461759,0.0031956640
6.8000000000,-0.6641184366,-2875.4198595136,-2874.7557410770,0.2114996385,0.8756180751,-0.5088948641,0.1552235725,-0.6655118091,-0.0013933725
6.8500000000,-0.8001277983,-5098.7538017595,-5097.9536739612,0.5195431541,1.3196709524,-0.6621564179,0.1379713803,-0.8058151215,-0.0056873232
6.9000000000,-0.7918638778,-6937.1819572745,-6936.3900933967,0.7454764571,1.5373403349,-0.6897377922,0.1021260856,-0.8009972432,-0.0091333654
6.9500000000,-0.6853548559,-8123.1500827652,-8122.4647279093,0.8119700875,1.4973249433,-0.6324611348,0.0528937210,-0.6966448908,-0.0112900349
7.0000000000,-0.5381988102,-8439.5876607039,-8439.0494618937,0.6662853853,1.2044841956,-0.5410025812,-0.0028037709,-0.5500816463,-0.0118828361
7.0500000000,-0.4097767069,-7752.1219775988,-7751.7122008920,0.2896245802,0.6994012871,-0.4670032149,-0.0572265080,-0.4206157072,-0.0108390003
7.1000000000,-0.3515061132,-6034.7440678683,-6034.3925617551,-0.2982843133,0.0532217999,-0.4543249927,-0.1028188794,-0.3598031249,-0.0082970117
7.1500000000,-0.3984706978,-3385.0489227317,-3384.6504520339,-1.0400676918,-0.6415969939,-0.5316608495,-0.1331901517,-0.4030603351,-0.0045896372
7.2000000000,-0.5635615149,-26.0159793965,-25.4524178816,-1.8470225515,-1.2834610366,-0.7075114567,-0.1439499417,-0.5637639864,-0.0002024714
7.2500000000,-0.8349232196,3707.3940582088,3708.2289814285,-2.6101116225,-1.7751884029,-0.9682159153,-0.1332926957,-0.8306362746,0.0042869451
7.3000000000,-1.1770562964,7396.8817461750,7398.0588024714,-3.2142478185,-2.0371915222,-1.2793124883,-0.1022561919,-1.1687743532,0.0082819431
7.3500000000,-1.5354416404,10582.8841875284,10584.4196291688,-3.5540231657,-2.0185815253,-1.5900610596,-0.0546194192,-1.5241991700,0.0112424704
7.4000000000,-1.8440878193,12816.4266912260,12818.2707790453,-3.5488187764,-1.7047309571,-1.8405378232,0.0035499961,-1.8313334769,0.0127543424
7.4500000000,-2.0350127400,13715.4852125232,13717.5202252632,-3.1552794769,-1.1202667368,-1.9703679081,0.0646448320,-2.0224294139,0.0125833261
7.5000000000,-2.0484089801,13019.4496620650,13021.4980710451,-2.3754444931,-0.3270355131,-1.9279365379,0.1204724421,-2.0377017757,0.0107072043
7.5500000000,-1.8421385515,10634.7912433515,10636.6333819030,-1.2593560637,0.5827824878,-1.6788421046,0.1632964470,-1.8348169021,0.0073216494
7.6000000000,-1.3992713291,6665.3410243770,6666.7402957061,0.0983454720,1.4976168010,-1.2124348705,0.1868364585,-1.3964523868,0.0028189423
7.6500000000,-0.7326134361,1421.7336167699,1422.4662302060,1.5675750398,2.3001884759,-0.5455130192,0.1871004169,-0.7348715166,-0.0022580805
7.7000000000,0.1144610439,-4593.4867039680,-4593.6011650119,2.9967085895,2.8822475456,0.2774047530,0.1629437091,0.1071796520,-0.0072813918
7.7500000000,1.0711048062,-10726.0085021946,-10727.0796070008,4.2296320576,3.1585272514,1.1873868483,0.1162820421,1.0594902356,-0.0116145706
7.8000000000,2.0457579195,-16233.0604545555,-16235.1062124751,5.1239067620,3.0781488424,2.0976850161,0.0519270966,2.0310662433,-0.0146916762
7.8500000000,2.9358501865,-20364.7231018195,-20367.6589520060,5.5678556699,2.6320054834,2.9129103706,-0.0229398158,2.9197616722,-0.0160885143
7.9000000000,3.6393417101,-22455.2948515546,-22458.9341932647,5.4944771998,1.8551354897,3.5397455318,-0.0995961783,3.6237642483,-0.0155774618
7.9500000000,4.0667495770,-22014.6328639754,-22018.6996135524,4.8904547934,0.8237052164,3.8979384120,-0.1688111650,4.0535906218,-0.0131589553
8.0000000000,4.1522220173,-18808.2565485929,-18812.4087706102,3.7991075001,-0.3531145172,3.9302626664,-0.2219593509,4.1431564698,-0.0090655475
8.0500000000,3.8623082291,-12915.1158045978,-12918.9781128269,2.3168485029,-1.5454597262,3.6102277836,-0.2520804456,3.8585704813,-0.0037377478
8.1000000000,3.2013227005,-4753.4143018276,-4756.6156245281,0.5834962365,-2.6178264641,2.9465672094,-0.2547554911,3.2035484024,0.0022257019
8.1500000000,2.2125879823,4932.2876837061,4930.0750957238,-1.2324789979,-3.4450669802,1.9838969698,-0.2286910124,2.2207253175,0.0081373352
8.2000000000,0.9753139476,15125.4819134955,15124.5065995480,-2.9520816976,-3.9273956451,0.7993769367,-0.1759370109,0.9886159709,0.0133020233
8.2500000000,-0.4026215984,24631.6475139029,24632.0501355013,-4.4051957378,-4.0025741394,-0.5043299228,-0.1017083244,-0.3855216966,0.0170999018
8.3000000000,-1.7952466226,32204.6572592504,32206.4525058729,-5.4490203799,-3.6537737573,-1.8090731218,-0.0138264993,-1.7761854454,0.0190611772
8.3500000000,-3.0712832444,36693.8213875972,36696.8926708415,-5.9834106995,-2.9121274551,-2.9931284074,0.0781548370,-3.0523594995,0.0189237449
8.4000000000,-4.1077467624,37195.8697387381,37199.9774855005,-5.9613697339,-1.8536229716,-3.9437071499,0.1640396125,-4.0910801932,0.0166665691
8.4500000000,-4.8028489353,33193.7957200375,33198.5985689728,-5.3935218586,-0.5906729233,-4.5686829391,0.2341659962,-4.7903342798,0.0125146555
8.5000000000,-5.0867706986,24664.0559469649,24669.1427176635,-4.3461149014,0.7406557972,-4.8062397085,0.2805309901,-5.0798558541,0.0069148445
8.5500000000,-4.9291063259,12135.4095260011,12140.3386323271,-2.9328640716,1.9962422543,-4.6313770376,0.2977292884,-4.9286211662,0.0004851597
8.6000000000,-4.3421550647,-3313.2783712071,-3308.9362161424,-1.3016706031,3.0404844616,-4.0585607178,0.2835943469,-4.3482114338,-0.0060563691
8.6500000000,-3.3797034382,-20122.8942986327,-20119.5145951946,0.3821647612,3.7618681994,-3.1402387375,0.2394647007,-3.3916784457,-0.0119750075
8.7000000000,-2.1314470389,-36390.6775824852,-36388.5461354463,1.9542284124,4.0856754513,-1.9614040605,0.1700429784,-2.1480518983,-0.0166048594
8.7500000000,-0.7136859499,-50064.3647077457,-50063.6510217958,3.2686371935,3.9823231434,-0.6308224987,0.0828634513,-0.7331124342,-0.0194264842
8.8000000000,0.7426629849,-59176.5889049413,-59177.3315679262,4.2130163954,3.4703534104,0.7300934904,-0.0125694945,0.7225356363,-0.0201273486
8.8500000000,2.1054074448,-62095.3649979886,-62097.4704054334,4.7191530727,2.6137456279,1.9995369726,-0.1058704721,2.0867695229,-0.0186379218
8.9000000000,3.2543128570,-57761.7933007022,-57765.0476135593,4.7682210356,1.5139081785,3.0673515050,-0.1869613521,3.2391737215,-0.0151391356
8.9500000000,4.0928015697,-45884.4272012420,-45888.5200028117,4.3901514386,0.2973498689,3.8455829124,-0.2472186573,4.0827612154,-0.0100403543
9.0000000000,4.5568887622,-27061.6127465108,-27066.1696352730,3.6574370848,-0.8994516774,4.2764434643,-0.2804452979,4.5529582273,-0.0039305349
9.0500000000,4.6204586420,-2808.6969022419,-2813.3173608839,2.6743209275,-1.9461377145,4.3369054708,-0.2835531712,4.6229501861,0.0024915441
9.1000000000,4.2964125040,24523.9508825031,24519.6544699991,1.5628491274,-2.7335633766,4.0395344967,-0.2568780073,4.3049121131,0.0084996091
9.1500000000,3.6336923225,51944.3704246970,51940.7367323745,0.4476034801,-3.1860888424,3.4296003332,-0.2040919894,3.6471172410,0.0134249185
