x,y,y (p = 1),error (p = 1),y (p = 2),error (p = 2),y (p = 3),error (p = 3),y (p = 4),error (p = 4)
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2000000000,0.1973955598,0.2000000000,0.0026044402,0.2000000000,0.0026044402,0.1971950915,-0.0002004684,0.1973907723,-0.0000047876
0.4000000000,0.3805063771,0.4000000000,0.0194936229,0.3838856000,0.0033792229,0.3801694348,-0.0003369423,0.3805034773,-0.0000028998
0.6000000000,0.5404195003,0.5822699183,0.0418504180,0.5430216812,0.0026021809,0.5401098158,-0.0003096845,0.5404139675,-0.0000055328
0.8000000000,0.6747409422,0.7348179258,0.0600769836,0.6760445817,0.0013036395,0.6745694269,-0.0001715153,0.6747249791,-0.0000159631
1.0000000000,0.7853981634,0.8561269585,0.0707287951,0.7856009784,0.0002028150,0.7853736272,-0.0000245362,0.7853704973,-0.0000276661
1.2000000000,0.8760580506,0.9512732857,0.0752152351,0.8755745717,-0.0004834789,0.8761356226,0.0000775720,0.8760223641,-0.0000356864
1.4000000000,0.9505468408,1.0264765097,0.0759296689,0.9497405287,-0.0008063121,0.9506767620,0.0001299212,0.9505075755,-0.0000392653
1.6000000000,1.0121970115,1.0868324257,0.0746354142,1.0113104126,-0.0008865988,1.0123436970,0.0001466856,1.0121574142,-0.0000395972
1.8000000000,1.0636978224,1.1360733605,0.0723755381,1.0628672690,-0.0008305534,1.0638408444,0.0001430220,1.0636597448,-0.0000380776
2.0000000000,1.1071487178,1.1768655197,0.0697168019,1.1064381817,-0.0007105361,1.1072783718,0.0001296540,1.1071130012,-0.0000357166
2.2000000000,1.1441688337,1.2111230943,0.0669542606,1.1435991962,-0.0005696375,1.1442817614,0.0001129277,1.1441357195,-0.0000331142
2.4000000000,1.1760052071,1.2402411353,0.0642359282,1.1755742599,-0.0004309472,1.1761013738,0.0000961667,1.1759746254,-0.0000305817
2.6000000000,1.2036224930,1.2652543716,0.0616318786,1.2033171279,-0.0003053651,1.2037033868,0.0000808939,1.2035942353,-0.0000282577
2.8000000000,1.2277723864,1.2869437335,0.0591713471,1.2275754749,-0.0001969115,1.2278400378,0.0000676515,1.2277461991,-0.0000261873
3.0000000000,1.2490457724,1.3059082425,0.0568624701,1.2489397785,-0.0001059939,1.2491022616,0.0000564892,1.2490214032,-0.0000243692
3.2000000000,1.2679114584,1.3226142331,0.0547027747,1.2678801629,-0.0000312955,1.2679586925,0.0000472341,1.2678886769,-0.0000227815
3.4000000000,1.2847448851,1.3374296348,0.0526847497,1.2847740699,0.0000291848,1.2847845176,0.0000396325,1.2847234895,-0.0000213956
3.6000000000,1.2998494765,1.3506482673,0.0507987909,1.2999270667,0.0000775903,1.2998828965,0.0000334201,1.2998292942,-0.0000201822
3.8000000000,1.3134726118,1.3625073487,0.0490347368,1.3135885557,0.0001159439,1.3135009648,0.0000283529,1.3134534969,-0.0000191149
4.0000000000,1.3258176637,1.3732003091,0.0473826455,1.3259637019,0.0001460382,1.3258418833,0.0000242196,1.3257994931,-0.0000181705
4.2000000000,1.3370531459,1.3828863074,0.0458331615,1.3372225519,0.0001694059,1.3370739887,0.0000208428,1.3370358163,-0.0000173296
4.4000000000,1.3473197257,1.3916973908,0.0443776652,1.3475070541,0.0001873284,1.3473378023,0.0000180766,1.3473031496,-0.0000165760
4.6000000000,1.3567356432,1.3997439497,0.0430083065,1.3569365053,0.0002008620,1.3567514462,0.0000158029,1.3567197470,-0.0000158963
4.8000000000,1.3654009376,1.4071189180,0.0417179804,1.3656118072,0.0002108696,1.3654148640,0.0000139264,1.3653856581,-0.0000152795
5.0000000000,1.3734007669,1.4139010430,0.0405002761,1.3736188185,0.0002180516,1.3734131375,0.0000123706,1.3733860504,-0.0000147166
